argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
19.30;30.56;50.13;1.03;0.5370;0.0730;1.63;362.17;20.46;155.97;4.0161;2.5999;-1.4162;0;0.4810
20.65;31.26;48.10;1.40;0.2470;0.2257;0.31;350.58;6.37;113.77;-0.7355;-0.6372;0.0982;0;0.4240
17.80;42.13;40.07;1.27;0.3443;0.1754;0.13;347.67;14.72;222.48;-0.2289;0.1785;0.4074;0;0.5010
31.27;23.32;45.41;1.44;0.2698;0.1871;0.73;356.77;10.42;247.64;3.2501;1.9910;-1.2591;0;0.4710
22.17;27.28;50.55;1.55;0.2103;0.2059;0.39;361.64;11.68;250.84;0.0153;-0.0420;-0.0573;0;0.3920
23.65;28.86;47.49;1.33;0.2630;0.2358;0.61;353.32;13.65;211.03;1.3336;0.5413;-0.7923;0;0.4420
29.33;26.78;43.89;0.96;0.4214;0.2169;1.40;344.44;36.47;152.97;0.0916;0.1127;0.0212;0;0.4480
24.21;38.10;37.69;1.06;0.3190;0.2824;0.93;344.43;20.68;180.83;-0.1343;-0.3848;-0.2505;0;0.6940
13.83;31.61;54.56;1.42;0.2912;0.1715;0.69;359.62;22.60;275.74;0.1923;-0.3965;-0.5888;0;0.3270
29.31;27.08;43.61;1.44;0.1554;0.3014;0.69;365.37;4.12;145.16;0.3204;0.0811;-0.2394;0;0.5530
28.84;30.19;40.96;1.38;0.1280;0.3524;1.54;358.43;17.12;135.47;-0.2563;-0.2688;-0.0124;0;0.4510
23.43;25.43;51.14;1.31;0.2719;0.2332;0.81;358.39;16.54;231.46;0.3418;-0.1550;-0.4968;0;0.4560
30.49;31.15;38.36;1.39;0.2388;0.2353;1.68;357.29;8.46;180.78;-0.3357;-0.3182;0.0175;0;0.4180
22.17;20.96;56.87;1.62;0.1495;0.2405;0.54;362.89;8.47;251.07;0.1404;-0.0349;-0.1752;0;0.5680
23.36;28.67;47.96;1.05;0.3703;0.2348;1.78;358.95;21.46;159.62;0.0427;0.1470;0.1042;0;0.4510
21.92;35.25;42.83;1.03;0.3801;0.2294;2.66;352.87;9.65;151.35;-0.1251;0.0120;0.1371;0;0.5320
19.92;25.19;54.89;1.37;0.3168;0.1677;0.40;366.95;12.76;253.77;0.0031;-0.0084;-0.0114;0;0.3310
42.92;21.03;36.05;1.16;0.3553;0.2057;1.43;367.72;17.46;109.20;-0.0763;0.3949;0.4712;0;0.4280
21.50;30.51;47.99;1.32;0.3004;0.2032;0.81;369.62;14.53;200.98;0.2991;0.1288;-0.1703;0;0.5570
19.53;28.29;52.18;0.96;0.4960;0.1426;0.58;368.15;11.08;144.47;-0.4822;0.0129;0.4950;0;0.4140
21.87;30.84;47.30;1.43;0.2333;0.2289;0.73;365.09;9.90;197.96;-0.3845;-0.4261;-0.0416;0;0.6520
18.29;50.96;30.75;1.45;0.2837;0.1703;0.96;376.02;4.96;177.23;0.7782;0.6994;-0.0788;0;0.3880
26.98;30.94;42.08;1.18;0.3486;0.2075;1.35;362.08;26.42;101.12;-0.0671;-0.0023;0.0648;0;0.4660
16.24;24.09;59.67;1.26;0.3399;0.1852;1.51;357.58;19.45;200.96;0.1221;0.5861;0.4641;0;0.3130
14.40;27.40;58.20;1.40;0.3145;0.1569;0.98;362.62;28.97;283.05;0.0458;-0.1030;-0.1488;0;0.3160
22.54;25.61;51.85;0.90;0.1838;0.4754;1.01;376.91;20.30;110.34;1.0834;0.7592;-0.3242;0;0.3230
22.35;27.87;49.78;1.28;0.3596;0.1582;0.61;376.81;9.40;251.50;0.8362;0.2302;-0.6060;0;0.5160
17.97;32.80;49.23;1.51;0.2435;0.1870;1.25;372.34;21.04;135.02;0.1434;0.2336;0.0902;0;0.5020
18.24;34.21;47.55;1.46;0.2257;0.2247;0.80;370.15;4.07;187.33;0.1251;-0.0712;-0.1963;0;0.4930
15.07;29.33;55.60;1.38;0.3311;0.1499;0.49;373.99;11.44;249.57;-0.0458;0.4969;0.5427;0;0.3740
17.24;29.21;53.55;1.44;0.2507;0.2044;0.69;379.14;14.43;157.58;-0.6714;-0.2235;0.4479;0;0.5030
24.31;27.46;48.23;1.42;0.2522;0.2113;1.76;389.13;9.31;232.48;0.6470;0.2126;-0.4343;0;0.3880
11.93;29.48;58.59;1.52;0.2961;0.1313;0.46;376.99;6.26;139.88;0.4181;0.3730;-0.0451;0;0.2730
20.70;34.30;45.00;1.27;0.2851;0.2359;1.18;370.72;15.45;256.86;-0.1923;-0.3121;-0.1198;0;0.5020
17.67;25.33;56.99;1.39;0.3333;0.1435;0.92;380.17;11.36;287.33;0.3845;0.3159;-0.0687;0;0.3230
33.50;26.91;39.60;1.13;0.3621;0.2112;0.98;385.55;5.63;223.93;0.0580;0.0929;0.0349;0;0.4210
4.72;44.92;50.36;1.34;0.3128;0.1804;1.52;404.56;10.80;311.46;0.0153;-0.1975;-0.2128;0;0.5230
41.33;19.75;38.93;1.38;0.2107;0.2671;1.07;398.12;14.41;124.50;-0.0885;-0.4144;-0.3259;0;0.4110
24.11;34.35;41.54;1.28;0.2373;0.2811;1.32;385.69;14.86;98.13;-0.4456;-0.0369;0.4086;0;0.4820
16.33;31.15;52.52;1.43;0.2786;0.1807;0.35;377.05;14.58;158.39;-0.5280;-0.5721;-0.0441;0;0.3550
23.15;35.11;41.75;1.16;0.2812;0.2829;0.82;380.71;5.81;307.78;0.0153;-0.0111;-0.0264;0;0.4710
34.33;29.36;36.31;1.36;0.2501;0.2381;1.47;388.57;6.08;311.06;0.6775;0.5054;-0.1721;0;0.5310
22.99;27.50;49.51;1.37;0.2749;0.2088;0.94;391.23;9.59;171.32;0.1862;-0.4123;-0.5985;0;0.4160
25.87;22.98;51.15;1.33;0.3084;0.1889;0.82;392.20;9.26;124.00;0.5890;0.1598;-0.4292;0;0.3910
17.37;30.60;52.03;1.64;0.1762;0.2032;0.76;387.55;8.10;237.91;-0.0763;-0.0686;0.0077;0;0.4250
43.77;20.05;36.18;1.32;0.2123;0.2902;1.55;386.48;8.78;138.60;-1.1627;-0.5308;0.6319;0;0.4690
15.98;24.85;59.17;1.40;0.0623;0.3795;2.64;48.00;8.60;54.46;-1.9200;-0.6400;1.2800;1;0.4820
10.54;14.09;75.37;1.37;0.1161;0.3382;2.14;53.00;15.56;315.00;1.2800;0.8000;-0.4800;1;0.3830
21.99;32.06;45.95;1.66;0.0800;0.2742;2.38;64.00;5.10;258.69;0.6400;0.0000;-0.6400;1;0.3866
20.52;22.38;57.10;1.61;0.0515;0.3186;2.41;114.00;22.36;26.57;-1.2800;-0.9224;0.3576;1;0.4068
18.99;27.54;53.47;1.51;0.0693;0.3211;2.48;127.00;32.53;45.00;0.0000;-0.1600;-0.1600;1;0.4609
16.60;24.25;59.15;1.37;0.1347;0.3178;2.30;142.00;14.76;61.70;0.6400;0.0492;-0.5908;1;0.4665
17.94;22.06;60.00;1.39;0.1028;0.3054;2.56;183.00;24.70;58.24;0.0000;-0.4424;-0.4424;1;0.3273
15.26;20.64;64.10;1.36;0.2069;0.2602;2.31;169.00;14.42;326.31;0.6400;0.1969;-0.4431;1;0.4217
